order_id,customer_id,product_id,order_date,quantity,unit_price,discount,sales_channel
O00046,C0089,P007,2025-07-26,5,503.23,0.0715,Direct
O00047,C0047,P005,2025-07-06,5,529.75,0.0733,Partner
O00048,C0167,P011,2025-07-22,4,81.92,0.068,Direct
O00049,C0081,P016,2025-07-30,5,133.34,0.0617,Partner
O00050,C0004,P001,2025-07-17,2,1448.98,0.0113,Partner
O00051,C0232,P018,2025-07-12,2,75.16,0.0179,Direct
O00052,C0289,P006,2025-07-07,4,822.55,0.1095,Web
O00053,C0074,P005,2025-07-21,3,622.06,0.1054,Direct
O00054,C0114,P009,2025-07-23,1,216.18,0.094,Direct
O00055,C0285,P012,2025-07-27,1,190.52,0.1039,Direct
O00056,C0240,P011,2025-07-07,1,82.37,0.0028,Web
O00057,C0064,P020,2025-07-20,2,322.82,0.1065,Partner
O00058,C0119,P013,2025-07-19,2,124.52,0.0491,Web
O00059,C0004,P013,2025-07-11,5,119.94,0.0236,Direct
O00060,C0114,P008,2025-07-05,4,546.09,0.0821,Direct
O00061,C0015,P007,2025-07-15,5,548.28,0.0119,Web
O00062,C0227,P012,2025-07-09,2,151.24,0.0223,Partner
O00063,C0144,P011,2025-07-01,3,70.08,0.0054,Web
O00064,C0145,P002,2025-07-21,2,1040.92,0.0133,Partner
O00065,C0071,P006,2025-07-24,2,799.49,0.1052,Web
O00066,C0271,P003,2025-07-31,4,1852.09,0.0086,Partner
O00067,C0124,P003,2025-07-26,2,1637.48,0.0116,Partner
O00068,C0254,P015,2025-07-17,3,78.33,0.0304,Direct
O00069,C0137,P004,2025-07-23,5,1430.51,0.0882,Web
O00070,C0089,P017,2025-07-13,5,292.98,0.0927,Direct
O00071,C0013,P005,2025-07-23,5,504.16,0.1075,Direct
O00072,C0031,P008,2025-07-27,1,549.5,0.0496,Web
O00073,C0019,P009,2025-07-18,2,214.78,0.1022,Web
O00074,C0263,P015,2025-07-17,3,80.78,0.0294,Direct
O00075,C0089,P004,2025-07-11,5,1571.4,0.0933,Web
O00076,C0156,P006,2025-07-17,3,743.59,0.0521,Direct
O00077,C0109,P003,2025-07-26,1,1851.68,0.0578,Direct
O00078,C0286,P003,2025-07-18,2,1452.34,0.0304,Web
O00079,C0263,P001,2025-07-29,1,1702.55,0.0386,Direct
O00080,C0183,P002,2025-07-13,5,1053.57,0.0225,Direct
O00081,C0252,P020,2025-07-27,5,325.05,0.0563,Web
O00082,C0046,P017,2025-07-11,4,229.18,0.0411,Partner
O00083,C0018,P016,2025-07-26,4,148.48,0.0952,Direct
O00084,C0064,P005,2025-07-14,3,603.88,0.0003,Partner
O00085,C0166,P020,2025-07-25,2,256.91,0.055,Web
O00086,C0039,P009,2025-07-20,4,193.55,0.1106,Web
O00087,C0195,P007,2025-07-21,4,591.75,0.0792,Direct
O00088,C0180,P002,2025-07-30,4,987.83,0.0213,Direct
O00089,C0028,P014,2025-07-09,5,127.65,0.054,Partner
O00090,C0268,P015,2025-07-31,2,89.09,0.0792,Partner
O00091,C0052,P007,2025-07-13,5,572.81,0.0886,Direct
O00092,C0121,P018,2025-07-23,1,71.06,0.1089,Direct
O00093,C0100,P009,2025-07-15,4,190.17,0.049,Web
O00094,C0133,P006,2025-07-03,5,775.65,0.0787,Web
O00095,C0220,P014,2025-07-06,1,142.03,0.0237,Web
O00096,C0234,P019,2025-07-08,4,401.46,0.0155,Partner
O00097,C0262,P006,2025-07-29,1,681.63,0.081,Partner
O00098,C0274,P015,2025-07-17,5,94.09,0.1144,Web
O00099,C0175,P013,2025-07-23,2,126.32,0.0385,Partner
O00100,C0293,P011,2025-07-22,3,64.08,0.048,Direct
O00101,C0211,P018,2025-07-27,4,69.52,0.1123,Partner
O00102,C0257,P007,2025-07-17,5,597.49,0.0759,Web
O00103,C0244,P007,2025-07-10,2,681.99,0.1109,Partner
O00104,C0253,P019,2025-07-24,1,413.73,0.0915,Partner
O00105,C0032,P010,2025-07-20,3,368.78,0.0774,Direct
O00106,C0087,P007,2025-07-19,3,581.53,0.0263,Web
O00107,C0198,P017,2025-07-02,5,239.75,0.0009,Web
O00108,C0101,P010,2025-07-27,1,355.07,0.0929,Partner
O00109,C0182,P003,2025-07-30,2,1876.55,0.0231,Web
O00110,C0047,P001,2025-07-20,3,1710.55,0.1177,Direct
O00111,C0190,P002,2025-07-15,1,1143.51,0.0325,Partner
O00112,C0266,P005,2025-07-04,3,641.11,0.0212,Direct
O00113,C0047,P009,2025-07-25,3,200.77,0.0823,Direct
O00114,C0196,P001,2025-07-31,1,1503.04,0.0114,Partner
O00115,C0206,P015,2025-07-06,5,82.83,0.0553,Web
O00116,C0128,P005,2025-07-21,2,548.93,0.0945,Web
O00117,C0205,P017,2025-07-08,5,262.12,0.0386,Partner
O00118,C0225,P015,2025-07-16,1,99.72,0.0173,Partner
O00119,C0171,P018,2025-07-09,1,62.66,0.0641,Partner
O00120,C0021,P011,2025-07-01,2,74.57,0.093,Web
O00121,C0030,P001,2025-07-01,4,1655.85,0.0202,Direct
O00122,C0045,P002,2025-07-26,2,1056.02,0.0983,Partner
O00123,C0014,P002,2025-07-11,2,1125.12,0.0309,Direct
O00124,C0226,P005,2025-07-24,3,570.35,0.0441,Direct
O00125,C0124,P005,2025-07-24,2,625.52,0.0143,Direct
O00126,C0026,P007,2025-07-06,1,664.09,0.0478,Web
O00127,C0210,P020,2025-07-29,1,316.22,0.0538,Partner
O00128,C0118,P004,2025-07-31,5,1564.38,0.0231,Partner
O00129,C0186,P005,2025-07-01,4,536.56,0.0882,Direct
O00130,C0170,P015,2025-07-26,2,94.36,0.0032,Direct
O00131,C0160,P001,2025-07-09,4,1487.96,0.0312,Partner
O00132,C0126,P006,2025-07-26,1,749.63,0.0462,Partner
O00133,C0227,P006,2025-07-20,3,689.28,0.0677,Web
O00134,C0203,P017,2025-07-01,2,243.75,0.1073,Web
O00135,C0233,P013,2025-07-26,1,137.02,0.0564,Partner
O00136,C0143,P017,2025-07-02,3,244.01,0.0703,Partner
O00137,C0140,P004,2025-07-13,4,1258.84,0.0119,Web
O00138,C0063,P003,2025-07-06,3,1413.17,0.1032,Direct
O00139,C0055,P007,2025-07-11,2,510.65,0.0429,Direct
O00140,C0080,P019,2025-07-07,3,429.41,0.1116,Direct
O00141,C0210,P002,2025-07-13,1,908.81,0.0743,Partner
O00142,C0037,P004,2025-07-24,5,1539.78,0.0631,Partner
O00143,C0043,P020,2025-07-15,1,290.92,0.0389,Direct
O00144,C0285,P002,2025-07-25,5,927.93,0.1174,Direct
O00145,C0098,P010,2025-07-25,3,467.11,0.0457,Direct
O00146,C0120,P016,2025-07-04,3,128.85,0.0232,Direct
O00147,C0295,P003,2025-07-21,5,1657.02,0.043,Partner
O00148,C0123,P009,2025-07-20,5,229.27,0.1119,Direct
O00149,C0220,P008,2025-07-12,2,605.19,0.0682,Partner
O00150,C0139,P006,2025-07-18,2,690.74,0.0415,Direct
O00151,C0022,P008,2025-07-31,1,546.74,0.0868,Direct
O00152,C0117,P018,2025-07-18,4,76.88,0.0309,Web
O00153,C0158,P017,2025-07-31,5,278.36,0.0803,Partner
O00154,C0016,P014,2025-07-13,5,172.05,0.0695,Partner
O00155,C0294,P001,2025-07-03,1,1584.74,0.0675,Direct
O00156,C0008,P007,2025-07-27,1,598.8,0.0559,Partner
O00157,C0136,P001,2025-07-31,4,1410.49,0.1055,Direct
O00158,C0112,P018,2025-07-09,1,62.83,0.093,Direct
O00159,C0045,P010,2025-07-25,3,466.38,0.1156,Web
O00160,C0257,P018,2025-07-19,5,79.77,0.0449,Web
O00161,C0036,P003,2025-07-20,5,1599.33,0.0677,Direct
O00162,C0295,P015,2025-07-14,5,84.35,0.0501,Direct
O00163,C0039,P003,2025-07-22,4,1790.25,0.0341,Partner
O00164,C0092,P015,2025-07-01,1,88.77,0.0556,Partner
O00165,C0131,P014,2025-07-25,1,159.21,0.0452,Direct
O00166,C0186,P003,2025-07-15,3,1621.04,0.0257,Web
O00167,C0135,P003,2025-07-16,1,1525.51,0.0116,Direct
O00168,C0285,P004,2025-07-26,2,1611.49,0.0097,Direct
O00169,C0175,P014,2025-07-05,5,157.5,0.0515,Partner
O00170,C0130,P008,2025-07-17,2,716.44,0.115,Web
O00171,C0199,P001,2025-07-13,4,1396.06,0.1084,Web
O00172,C0014,P007,2025-07-26,4,523.08,0.0072,Partner
O00173,C0002,P017,2025-07-28,1,272.75,0.1099,Partner
O00174,C0171,P015,2025-07-14,4,75.33,0.1163,Direct
O00175,C0087,P007,2025-07-07,1,556.76,0.1157,Partner
O00176,C0029,P014,2025-07-22,1,167.33,0.1171,Partner
O00177,C0186,P017,2025-07-10,5,236.08,0.0955,Direct
O00178,C0164,P008,2025-07-28,5,711.98,0.0846,Direct
O00179,C0230,P010,2025-07-07,3,388.44,0.0434,Direct
O00180,C0118,P003,2025-07-03,4,1759.22,0.0535,Web
O00181,C0059,P019,2025-07-27,4,321.28,0.0189,Partner
O00182,C0062,P006,2025-07-07,5,738.5,0.1123,Partner
O00183,C0262,P020,2025-07-29,2,255.61,0.0184,Web
O00184,C0019,P003,2025-07-18,1,1830.34,0.0645,Web
O00185,C0199,P013,2025-07-21,2,133.39,0.0741,Partner
O00186,C0260,P013,2025-07-11,1,104.7,0.0271,Partner
O00187,C0123,P009,2025-07-04,5,192.57,0.0925,Direct
O00188,C0163,P009,2025-07-10,4,210.96,0.0807,Web
O00189,C0049,P009,2025-07-23,2,215.56,0.0203,Partner
O00190,C0282,P016,2025-07-04,5,136.92,0.0623,Web
O00191,C0010,P011,2025-07-16,3,88.75,0.0584,Partner
O00192,C0144,P019,2025-07-03,5,391.97,0.0274,Direct
O00193,C0216,P013,2025-07-16,1,140.7,0.0563,Direct
O00194,C0270,P006,2025-07-02,4,813.54,0.0778,Direct
O00195,C0225,P016,2025-07-24,3,143.33,0.1027,Partner
O00196,C0190,P007,2025-07-21,3,633.86,0.1153,Direct
O00197,C0212,P008,2025-07-02,3,679.23,0.0607,Direct
O00198,C0221,P010,2025-07-07,3,436.74,0.0157,Direct
O00199,C0117,P004,2025-07-23,4,1506.13,0.1074,Direct
O00200,C0082,P012,2025-07-30,1,148.57,0.0237,Web
O00201,C0119,P006,2025-07-06,3,828.39,0.0913,Web
O00202,C0213,P017,2025-07-12,4,267.67,0.0177,Web
O00203,C0117,P006,2025-07-26,2,643.37,0.066,Web
O00204,C0212,P003,2025-07-15,3,1760.48,0.0898,Web
O00205,C0033,P017,2025-07-11,3,298.42,0.0289,Web
O00206,C0109,P004,2025-07-15,2,1341.38,0.0289,Web
O00207,C0273,P016,2025-07-01,2,126.65,0.0157,Web
O00208,C0132,P015,2025-07-12,5,80.41,0.0916,Web
O00209,C0018,P019,2025-07-20,3,398.31,0.1041,Direct
O00210,C0300,P010,2025-07-28,3,458.73,0.095,Direct
O00211,C0108,P010,2025-07-15,1,338.58,0.0573,Partner
O00212,C0149,P010,2025-07-18,3,410.76,0.1004,Direct
O00213,C0297,P003,2025-07-24,2,1766.27,0.1017,Partner
O00214,C0299,P014,2025-07-28,1,141.42,0.0482,Partner
O00215,C0225,P006,2025-07-31,4,842.09,0.0414,Partner
O00216,C0168,P013,2025-07-06,2,108.93,0.007,Web
O00217,C0189,P019,2025-07-21,3,422.53,0.0818,Partner
O00218,C0058,P015,2025-07-26,2,81.25,0.1096,Web
O00219,C0231,P003,2025-07-30,4,1777.78,0.0282,Web
O00220,C0083,P007,2025-07-09,3,585.52,0.0519,Partner
O00221,C0210,P006,2025-07-23,4,801.21,0.0454,Partner
O00222,C0251,P017,2025-07-01,4,276.01,0.1193,Web
O00223,C0265,P001,2025-07-24,2,1504.26,0.0972,Web
O00224,C0027,P003,2025-07-24,2,1540.21,0.0227,Direct
O00225,C0052,P004,2025-07-17,3,1381.9,0.1034,Direct
O00226,C0193,P015,2025-07-31,1,85.58,0.0484,Partner
O00227,C0073,P019,2025-07-31,2,409.31,0.0905,Web
O00228,C0030,P009,2025-07-07,1,179.67,0.0557,Direct
O00229,C0072,P006,2025-07-20,4,834.45,0.0963,Web
O00230,C0080,P013,2025-07-08,1,106.5,0.1133,Web
O00231,C0155,P009,2025-07-08,2,223.91,0.0479,Partner
O00232,C0011,P002,2025-07-20,4,1140.79,0.0253,Web
O00233,C0118,P019,2025-07-17,5,424.34,0.0273,Direct
O00234,C0016,P018,2025-07-10,3,73.65,0.0912,Partner
O00235,C0181,P003,2025-07-31,4,1844.31,0.0874,Web
O00236,C0133,P002,2025-07-17,1,1127.54,0.0985,Partner
O00237,C0049,P015,2025-07-10,2,76.94,0.0286,Direct
O00238,C0151,P014,2025-07-19,3,145.48,0.0944,Direct
O00239,C0289,P019,2025-07-08,2,410.16,0.0814,Partner
O00240,C0157,P016,2025-07-25,2,158.06,0.0866,Web
O00241,C0245,P019,2025-07-21,5,361.44,0.0766,Web
O00242,C0143,P002,2025-07-03,2,1012.04,0.1051,Partner
O00243,C0030,P006,2025-07-15,4,705.94,0.1176,Direct
O00244,C0266,P016,2025-07-24,2,129.57,0.0728,Web
O00245,C0089,P014,2025-07-29,5,126.85,0.0264,Partner
O00246,C0214,P007,2025-07-16,4,510.63,0.0418,Direct
O00247,C0246,P018,2025-07-27,1,68.4,0.1134,Partner
O00248,C0016,P008,2025-07-08,3,690.41,0.0895,Partner
O00249,C0221,P018,2025-07-25,2,71.58,0.0935,Web
O00250,C0074,P016,2025-07-01,3,157.97,0.0852,Web
O00251,C0033,P013,2025-07-04,4,122.52,0.0571,Direct
O00252,C0135,P002,2025-07-07,2,1177.33,0.0974,Direct
O00253,C0018,P007,2025-07-06,3,527.78,0.1167,Partner
O00254,C0271,P014,2025-07-11,5,134.12,0.0254,Partner
O00255,C0040,P002,2025-07-03,1,893.52,0.1188,Web
O00256,C0023,P001,2025-07-26,3,1534.82,0.0929,Web
O00257,C0012,P013,2025-07-30,5,126.84,0.0627,Direct
O00258,C0214,P009,2025-07-11,4,198.55,0.0204,Direct
O00259,C0127,P016,2025-07-25,2,121.2,0.0296,Partner
O00260,C0253,P014,2025-07-22,5,168.66,0.0093,Web
O00261,C0265,P016,2025-07-21,2,124.08,0.0827,Web
O00262,C0273,P003,2025-07-18,5,1496.38,0.0665,Web
O00263,C0086,P013,2025-07-11,4,126.24,0.0162,Direct
O00264,C0209,P013,2025-07-22,3,104.03,0.0536,Partner
O00265,C0016,P009,2025-07-26,1,182.14,0.0529,Direct
O00266,C0223,P016,2025-07-26,5,139.12,0.0913,Web
O00267,C0289,P010,2025-07-29,3,419.85,0.1114,Direct
O00268,C0148,P020,2025-07-19,4,324.64,0.0086,Direct
O00269,C0123,P011,2025-07-18,3,86.89,0.0592,Partner
O00270,C0141,P020,2025-07-14,3,268.83,0.026,Partner
O00271,C0044,P002,2025-07-17,1,1018.84,0.0923,Direct
O00272,C0221,P015,2025-07-18,2,78.01,0.1129,Web
O00273,C0291,P004,2025-07-10,4,1310.85,0.077,Direct
O00274,C0124,P006,2025-07-08,1,834.01,0.06,Partner
O00275,C0047,P016,2025-07-23,5,159.81,0.0269,Direct
O00276,C0087,P007,2025-07-09,4,616.0,0.1192,Web
O00277,C0003,P020,2025-07-13,3,314.77,0.1032,Web
O00278,C0280,P007,2025-07-17,2,666.03,0.0364,Web
O00279,C0282,P009,2025-07-19,5,233.17,0.1087,Web
O00280,C0240,P020,2025-07-10,1,305.57,0.0673,Web
O00281,C0053,P011,2025-07-26,4,73.86,0.0899,Direct
O00282,C0101,P009,2025-07-04,3,179.89,0.1021,Web
O00283,C0296,P009,2025-07-06,2,218.07,0.0665,Web
O00284,C0007,P020,2025-07-06,1,316.46,0.033,Web
O00285,C0207,P002,2025-07-01,1,1070.88,0.0026,Web
O00286,C0255,P003,2025-07-19,3,1579.44,0.0531,Web
O00287,C0115,P002,2025-07-17,5,1179.07,0.0013,Direct
O00288,C0054,P012,2025-07-18,2,148.32,0.0243,Partner
O00289,C0243,P014,2025-07-28,4,155.75,0.1144,Web
O00290,C0149,P012,2025-07-15,5,160.06,0.0269,Web
O00291,C0221,P001,2025-07-11,2,1600.18,0.0022,Web
O00292,C0132,P011,2025-07-19,2,83.21,0.0973,Direct
O00293,C0067,P015,2025-07-22,1,87.44,0.0724,Web
O00294,C0074,P004,2025-07-07,5,1370.52,0.0497,Web
O00295,C0025,P004,2025-07-19,5,1588.88,0.0242,Web
O00296,C0279,P011,2025-07-29,2,87.66,0.0014,Web
O00297,C0262,P016,2025-07-06,5,155.56,0.1165,Partner
O00298,C0166,P016,2025-07-27,1,142.22,0.0738,Web
O00299,C0145,P009,2025-07-22,3,177.54,0.0888,Direct
O00300,C0023,P015,2025-07-27,1,87.36,0.0612,Partner
O00301,C0164,P007,2025-07-31,5,646.11,0.0443,Partner
O00302,C0053,P008,2025-07-15,4,705.98,0.0881,Web
O00303,C0030,P005,2025-07-25,5,553.71,0.1022,Partner
O00304,C0073,P012,2025-07-29,3,154.36,0.0832,Direct
O00305,C0194,P020,2025-07-27,1,259.55,0.0809,Direct
O00306,C0102,P007,2025-07-15,3,650.23,0.0342,Web
O00307,C0154,P007,2025-07-02,5,603.53,0.1011,Web
O00308,C0134,P017,2025-07-21,2,235.09,0.1062,Partner
O00309,C0207,P010,2025-07-05,1,357.0,0.0825,Web
O00310,C0015,P011,2025-07-05,3,74.69,0.0497,Web
O00311,C0163,P011,2025-07-10,2,64.3,0.0737,Web
O00312,C0113,P007,2025-07-04,4,502.35,0.0298,Direct
O00313,C0101,P010,2025-07-27,2,445.5,0.0453,Web
O00314,C0160,P005,2025-07-01,1,580.05,0.0414,Direct
O00315,C0257,P009,2025-07-11,1,219.64,0.1131,Partner
O00316,C0007,P020,2025-07-24,2,279.25,0.0945,Direct
O00317,C0151,P013,2025-07-12,5,140.68,0.0051,Web
O00318,C0134,P020,2025-07-05,3,284.41,0.1185,Direct
O00319,C0058,P001,2025-07-01,3,1665.58,0.0389,Web
O00320,C0144,P004,2025-07-15,2,1220.26,0.0062,Partner
O00321,C0218,P019,2025-07-17,2,380.71,0.0109,Partner
O00322,C0128,P001,2025-07-16,4,1729.6,0.0311,Partner
O00323,C0265,P011,2025-07-13,5,74.87,0.0335,Partner
O00324,C0257,P018,2025-07-17,2,82.1,0.0224,Direct
O00325,C0213,P007,2025-07-23,1,577.9,0.024,Web
O00326,C0205,P010,2025-07-21,3,371.91,0.0426,Web
O00327,C0121,P007,2025-07-04,4,592.83,0.0434,Web
O00328,C0256,P002,2025-07-07,2,1181.51,0.0411,Direct
O00329,C0223,P001,2025-07-22,3,1307.46,0.0286,Direct
O00330,C0225,P007,2025-07-26,2,686.83,0.0728,Web
O00331,C0046,P015,2025-07-17,4,102.65,0.041,Direct
O00332,C0049,P003,2025-07-17,5,1436.35,0.0736,Direct
O00333,C0105,P001,2025-07-30,5,1377.53,0.0047,Web
O00334,C0033,P016,2025-07-09,2,115.69,0.0335,Web
O00335,C0082,P004,2025-07-11,2,1338.18,0.0407,Partner
O00336,C0099,P007,2025-07-01,4,539.99,0.0908,Web
O00337,C0180,P020,2025-07-29,5,301.25,0.0638,Direct
O00338,C0095,P001,2025-07-24,1,1666.38,0.1075,Partner
O00339,C0051,P009,2025-07-03,4,221.21,0.037,Web
O00340,C0279,P010,2025-07-31,5,440.09,0.0112,Web
O00341,C0083,P014,2025-07-25,1,164.33,0.0959,Web
O00342,C0181,P011,2025-07-04,2,70.49,0.0497,Partner
O00343,C0256,P001,2025-07-27,3,1377.85,0.0471,Direct
O00344,C0128,P001,2025-07-09,1,1691.03,0.0511,Partner
O00345,C0228,P007,2025-07-12,3,583.08,0.0309,Partner
O00346,C0151,P001,2025-07-11,4,1527.62,0.0496,Web
O00347,C0145,P017,2025-07-16,2,311.83,0.0942,Partner
O00348,C0291,P012,2025-07-05,1,169.39,0.0204,Partner
O00349,C0069,P017,2025-07-30,3,248.35,0.1116,Web
O00350,C0035,P008,2025-07-23,2,524.76,0.0717,Direct
O00351,C0055,P017,2025-07-03,1,270.71,0.031,Web
O00352,C0199,P008,2025-07-30,2,696.17,0.0223,Web
O00353,C0079,P007,2025-07-15,3,643.1,0.0531,Web
O00354,C0047,P015,2025-07-31,4,86.86,0.1047,Web
O00355,C0078,P010,2025-07-19,5,348.26,0.0137,Partner
O00356,C0279,P014,2025-07-10,2,143.47,0.0543,Partner
O00357,C0222,P009,2025-07-15,1,227.37,0.0304,Web
O00358,C0212,P013,2025-07-02,3,127.46,0.0407,Web
O00359,C0177,P014,2025-07-13,1,173.36,0.0898,Direct
O00360,C0263,P010,2025-07-10,5,386.02,0.0645,Web
O00361,C0141,P006,2025-07-21,1,702.53,0.0305,Partner
O00362,C0116,P004,2025-07-09,4,1450.33,0.0466,Web
O00363,C0074,P007,2025-07-09,3,653.85,0.0455,Partner
O00364,C0177,P006,2025-07-17,2,834.99,0.0952,Partner
O00365,C0106,P002,2025-07-25,3,1111.4,0.1184,Partner
O00366,C0138,P001,2025-07-18,3,1308.76,0.0902,Web
O00367,C0009,P011,2025-07-29,4,85.56,0.0755,Web
O00368,C0184,P009,2025-07-27,3,225.41,0.0044,Partner
O00369,C0030,P012,2025-07-16,2,188.08,0.0778,Partner
O00370,C0127,P001,2025-07-11,5,1596.38,0.0245,Web
O00371,C0208,P002,2025-07-09,5,1134.3,0.024,Direct
O00372,C0088,P004,2025-07-22,1,1442.71,0.0369,Partner
O00373,C0182,P006,2025-07-28,1,790.59,0.0052,Partner
O00374,C0002,P020,2025-07-30,5,326.55,0.0566,Partner
O00375,C0073,P010,2025-07-18,3,380.14,0.0626,Partner
O00376,C0130,P006,2025-07-28,4,855.86,0.0094,Direct
O00377,C0118,P008,2025-07-09,1,584.9,0.0345,Web
O00378,C0053,P003,2025-07-16,5,1833.98,0.0039,Partner
O00379,C0286,P002,2025-07-13,3,896.63,0.0315,Web
O00380,C0296,P007,2025-07-07,1,614.24,0.0598,Web
O00381,C0250,P012,2025-07-23,2,186.2,0.0166,Web
O00382,C0129,P002,2025-07-27,2,997.16,0.0681,Partner
O00383,C0197,P002,2025-07-30,1,892.76,0.0873,Web
O00384,C0087,P001,2025-07-03,1,1675.49,0.1003,Partner
O00385,C0023,P002,2025-07-23,1,888.3,0.1024,Web
O00386,C0071,P010,2025-07-14,4,443.51,0.0587,Direct
O00387,C0009,P011,2025-07-30,5,67.3,0.0997,Partner
O00388,C0016,P006,2025-07-28,1,775.1,0.0822,Direct
O00389,C0229,P006,2025-07-09,3,701.97,0.0626,Partner
O00390,C0139,P009,2025-07-10,4,184.05,0.0438,Web
O00391,C0013,P003,2025-07-15,5,1663.88,0.0161,Partner
O00392,C0209,P020,2025-07-08,1,265.79,0.001,Partner
O00393,C0035,P001,2025-07-11,4,1737.6,0.0054,Web
O00394,C0225,P003,2025-07-19,5,1746.46,0.0431,Web
O00395,C0169,P001,2025-07-13,3,1739.62,0.0309,Web
O00396,C0057,P011,2025-07-18,2,78.63,0.0951,Web
O00397,C0208,P016,2025-07-17,5,150.99,0.0297,Direct
O00398,C0167,P015,2025-07-11,5,100.86,0.0818,Web
O00399,C0273,P020,2025-07-11,3,304.58,0.0585,Direct
O00400,C0033,P008,2025-07-17,5,526.5,0.1118,Web
O00401,C0229,P003,2025-07-05,1,1751.42,0.0116,Web
O00402,C0271,P019,2025-07-03,1,404.5,0.0758,Partner
O00403,C0079,P016,2025-07-15,5,147.0,0.0703,Web
O00404,C0097,P019,2025-07-30,1,391.28,0.0797,Partner
O00405,C0124,P009,2025-07-01,4,234.01,0.0192,Partner
O00406,C0061,P014,2025-07-15,2,154.35,0.0059,Direct
O00407,C0145,P009,2025-07-20,3,206.41,0.0789,Partner
O00408,C0217,P004,2025-07-25,2,1449.31,0.0645,Direct
O00409,C0008,P013,2025-07-31,1,112.08,0.0633,Partner
O00410,C0262,P012,2025-07-03,2,173.07,0.0266,Partner
O00411,C0005,P015,2025-07-10,5,90.92,0.071,Partner
O00412,C0102,P015,2025-07-27,5,94.73,0.0624,Direct
O00413,C0080,P008,2025-07-05,1,542.01,0.0232,Web
O00414,C0113,P019,2025-07-16,2,346.59,0.0127,Partner
O00415,C0068,P007,2025-07-25,5,576.21,0.0927,Web
O00416,C0241,P012,2025-07-19,5,193.61,0.0483,Web
O00417,C0058,P002,2025-07-31,5,1175.81,0.0627,Partner
O00418,C0166,P013,2025-07-26,4,121.19,0.0041,Web
O00419,C0189,P014,2025-07-27,5,167.29,0.0333,Partner
O00420,C0016,P012,2025-07-30,4,169.72,0.0771,Partner
O00421,C0265,P010,2025-07-22,3,352.53,0.0116,Partner
O00422,C0070,P007,2025-07-05,2,544.9,0.0658,Partner
O00423,C0299,P005,2025-07-24,1,589.32,0.0442,Direct
O00424,C0188,P006,2025-07-05,3,835.88,0.1083,Partner
O00425,C0285,P017,2025-07-16,4,280.41,0.0767,Web
